time_sec,raw_deg
1783235410.5807438,17.6
1783235410.590966,17.95
1783235410.6008813,18.26
1783235410.6107376,18.63
1783235410.6206975,18.94
1783235410.630773,19.330000000000002
1783235410.640772,19.68
1783235410.6507423,20.04
1783235410.6608338,20.400000000000002
1783235410.6707442,20.72
1783235410.6807442,21.09
1783235410.690731,21.400000000000002
1783235410.7007718,21.740000000000002
1783235410.711011,22.06
1783235410.7208536,22.400000000000002
1783235410.7307732,22.73
1783235410.740771,23.06
1783235410.7508533,23.42
1783235410.7608707,23.75
1783235410.7709804,24.16
1783235410.780798,24.5
1783235410.7962394,24.91
1783235410.8008144,25.25
1783235410.8107553,25.650000000000002
1783235410.8207083,26.02
1783235410.8307774,26.400000000000002
1783235410.8406942,26.76
1783235410.8507264,27.11
1783235410.8606954,27.46
1783235410.8707337,27.8
1783235410.8807132,28.16
1783235410.8907275,28.47
1783235410.9008186,28.830000000000002
1783235410.9107144,29.150000000000002
1783235410.9207428,29.490000000000002
1783235410.930754,29.82
1783235410.9407473,30.11
1783235410.950849,30.45
1783235410.960994,30.740000000000002
1783235410.970937,31.03
1783235410.9809349,31.35
1783235410.9907455,31.61
1783235411.0011325,31.89
1783235411.0162354,32.18
1783235411.0261517,32.42
1783235411.0307271,32.68
1783235411.040742,32.94
1783235411.0507715,33.18
1783235411.060861,33.43
1783235411.0707793,33.68
1783235411.0807564,33.910000000000004
1783235411.0907564,34.14
1783235411.1007946,34.4
1783235411.1109025,34.63
1783235411.1207807,34.88
1783235411.130798,35.15
1783235411.1408598,35.38
1783235411.1508448,35.65
1783235411.1607955,35.93
1783235411.1709273,36.2
1783235411.180772,36.49
1783235411.1908655,36.79
1783235411.2063577,37.09
1783235411.213571,37.47
1783235411.220803,37.69
1783235411.2309895,37.99
1783235411.2408588,38.31
1783235411.250821,38.6
1783235411.2607248,38.92
1783235411.2707314,39.25
1783235411.2807431,39.56
1783235411.290983,39.9
1783235411.3008618,40.22
1783235411.3108466,40.57
1783235411.3208156,40.92
1783235411.3308678,41.25
1783235411.3408678,41.61
1783235411.350806,41.96
1783235411.3608806,42.31
1783235411.3708324,42.65
